"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/09/2022","1,228.07","1,230.96","1,232.21","1,223.60","292.13K","-0.06%"
"12/09/2022","1,228.83","1,236.72","1,238.33","1,228.83","267.72K","-0.11%"
"09/09/2022","1,230.24","1,225.01","1,230.24","1,209.00","382.45K","1.08%"
"08/09/2022","1,217.15","1,232.49","1,232.63","1,217.15","353.65K","-0.55%"
"07/09/2022","1,223.85","1,255.34","1,255.81","1,223.85","547.03K","-2.66%"
"06/09/2022","1,257.32","1,257.77","1,265.01","1,257.00","362.74K","0.07%"
"05/09/2022","1,256.38","1,258.08","1,262.70","1,253.31","314.02K","-0.16%"
"31/08/2022","1,258.36","1,250.94","1,261.93","1,249.39","307.09K","0.31%"
"30/08/2022","1,254.53","1,253.70","1,265.71","1,251.75","322.74K","0.08%"
"29/08/2022","1,253.51","1,254.84","1,254.84","1,231.64","538.59K","-1.04%"
"26/08/2022","1,266.72","1,275.43","1,278.58","1,264.37","401.59K","-0.43%"
"25/08/2022","1,272.19","1,261.65","1,272.24","1,261.65","365.32K","1.07%"
"24/08/2022","1,258.71","1,256.68","1,262.31","1,254.27","333.65K","0.39%"
"23/08/2022","1,253.82","1,234.87","1,253.82","1,234.81","341.53K","0.79%"
"22/08/2022","1,244.03","1,250.95","1,253.08","1,238.08","351.19K","-0.60%"
"19/08/2022","1,251.55","1,256.15","1,260.67","1,245.97","375.65K","-0.43%"
"18/08/2022","1,256.97","1,256.99","1,266.85","1,252.48","368.61K","-0.16%"
"17/08/2022","1,259.04","1,259.36","1,264.20","1,255.79","419.52K","0.15%"
"16/08/2022","1,257.15","1,255.70","1,258.97","1,253.03","393.02K","0.13%"
"15/08/2022","1,255.46","1,248.17","1,255.91","1,247.04","409.79K","1.11%"
"12/08/2022","1,241.68","1,230.43","1,241.68","1,227.12","335.43K","0.83%"
"11/08/2022","1,231.47","1,244.86","1,251.59","1,226.38","494.33K","-0.63%"
"10/08/2022","1,239.31","1,240.33","1,244.40","1,238.11","374.20K","-0.25%"
"09/08/2022","1,242.37","1,242.46","1,246.17","1,236.26","411.35K","0.34%"
"08/08/2022","1,238.10","1,233.13","1,241.09","1,232.24","386.34K","0.38%"
"05/08/2022","1,233.39","1,231.83","1,234.60","1,226.16","405.34K","-0.13%"
"04/08/2022","1,234.97","1,235.01","1,240.28","1,229.61","437.74K","0.32%"
"03/08/2022","1,230.97","1,217.48","1,231.63","1,215.25","471.69K","0.54%"
"02/08/2022","1,224.30","1,216.56","1,224.79","1,211.35","465.76K","0.62%"
"01/08/2022","1,216.70","1,191.83","1,216.70","1,191.83","477.68K","2.09%"
"29/07/2022","1,191.79","1,202.01","1,202.07","1,191.79","351.76K","-0.37%"
"28/07/2022","1,196.16","1,179.48","1,201.57","1,179.48","415.15K","1.42%"
"27/07/2022","1,179.45","1,174.70","1,179.45","1,168.67","252.45K","0.37%"
"26/07/2022","1,175.15","1,180.02","1,184.87","1,174.67","248.85K","-0.45%"
"25/07/2022","1,180.43","1,185.98","1,188.54","1,177.08","254.68K","-0.60%"
"22/07/2022","1,187.53","1,195.66","1,199.31","1,187.53","281.29K","-0.44%"
"21/07/2022","1,192.74","1,187.83","1,197.53","1,187.63","316.24K","0.58%"
"20/07/2022","1,185.85","1,179.37","1,190.45","1,177.40","362.12K","1.32%"
"19/07/2022","1,170.45","1,170.67","1,172.46","1,161.39","291.34K","-0.07%"
"18/07/2022","1,171.29","1,180.58","1,181.09","1,169.42","298.11K","-0.30%"
"15/07/2022","1,174.82","1,178.45","1,184.65","1,173.30","367.88K","-0.12%"
"14/07/2022","1,176.26","1,165.07","1,177.39","1,164.36","315.08K","0.56%"
"13/07/2022","1,169.68","1,170.72","1,178.66","1,167.54","307.77K","-0.19%"
"12/07/2022","1,171.95","1,154.58","1,171.95","1,152.40","300.65K","1.46%"
"11/07/2022","1,155.08","1,167.60","1,168.21","1,146.24","317.00K","-1.64%"
"08/07/2022","1,174.34","1,174.88","1,178.58","1,167.28","299.35K","0.61%"
"07/07/2022","1,167.22","1,151.45","1,167.22","1,147.04","231.59K","1.35%"
"06/07/2022","1,151.69","1,179.79","1,179.79","1,151.69","331.76K","-2.53%"
"05/07/2022","1,181.62","1,195.95","1,197.74","1,180.14","353.78K","-0.94%"
"04/07/2022","1,192.85","1,198.73","1,204.95","1,188.34","268.73K","-0.11%"
"01/07/2022","1,194.16","1,186.47","1,197.90","1,163.83","312.51K","0.39%"
"30/06/2022","1,189.50","1,216.05","1,217.36","1,189.50","310.63K","-2.05%"
"29/06/2022","1,214.42","1,202.00","1,216.96","1,201.87","331.49K","0.02%"
"28/06/2022","1,214.12","1,196.27","1,215.50","1,191.87","349.13K","1.40%"
"27/06/2022","1,197.34","1,181.36","1,197.34","1,180.90","285.42K","1.62%"
"24/06/2022","1,178.27","1,182.27","1,188.88","1,178.27","257.52K","-0.24%"
"23/06/2022","1,181.06","1,161.50","1,181.06","1,155.29","249.37K","1.70%"
"22/06/2022","1,161.32","1,164.40","1,171.76","1,153.99","344.99K","0.51%"
"21/06/2022","1,155.46","1,155.36","1,172.84","1,146.33","417.56K","-0.76%"
"20/06/2022","1,164.33","1,200.46","1,205.64","1,162.12","408.02K","-3.00%"
"17/06/2022","1,200.28","1,196.87","1,203.21","1,174.93","465.17K","-1.93%"
"16/06/2022","1,223.95","1,216.79","1,233.37","1,210.86","356.79K","1.89%"
"15/06/2022","1,201.23","1,217.63","1,221.12","1,178.39","419.49K","-1.10%"
"14/06/2022","1,214.61","1,201.51","1,227.05","1,198.82","342.36K","-0.07%"
"13/06/2022","1,215.45","1,245.48","1,255.18","1,215.45","447.71K","-4.99%"
"10/06/2022","1,279.23","1,289.88","1,303.54","1,279.23","370.69K","-1.62%"
"09/06/2022","1,300.35","1,302.21","1,304.24","1,291.46","293.79K","0.10%"
"08/06/2022","1,299.04","1,284.27","1,305.08","1,280.54","365.01K","1.70%"
"07/06/2022","1,277.33","1,274.41","1,277.33","1,247.27","385.87K","-0.15%"
"06/06/2022","1,279.29","1,284.17","1,293.84","1,275.43","332.18K","-0.19%"
"03/06/2022","1,281.77","1,280.65","1,285.89","1,267.37","260.20K","0.15%"
"02/06/2022","1,279.87","1,294.15","1,297.75","1,273.99","327.96K","-0.90%"
"01/06/2022","1,291.48","1,285.45","1,294.91","1,276.47","312.85K","0.21%"
"31/05/2022","1,288.77","1,296.49","1,296.49","1,280.43","320.96K","-0.64%"
"30/05/2022","1,297.08","1,291.40","1,297.40","1,284.67","284.12K","0.64%"
"27/05/2022","1,288.85","1,267.90","1,291.66","1,267.03","331.00K","1.79%"
"26/05/2022","1,266.14","1,268.25","1,275.61","1,260.56","306.55K","-0.01%"
"25/05/2022","1,266.33","1,232.56","1,266.33","1,229.04","390.31K","3.23%"
"24/05/2022","1,226.68","1,210.82","1,226.68","1,193.17","313.73K","1.35%"
"23/05/2022","1,210.34","1,241.37","1,241.46","1,199.81","306.64K","-2.03%"
"20/05/2022","1,235.46","1,235.54","1,248.17","1,226.25","280.53K","0.14%"
"19/05/2022","1,233.78","1,205.84","1,240.97","1,203.90","296.18K","-0.04%"
"18/05/2022","1,234.30","1,235.27","1,246.66","1,218.48","333.65K","0.95%"
"17/05/2022","1,222.72","1,155.28","1,222.72","1,147.46","350.70K","5.19%"
"16/05/2022","1,162.39","1,199.56","1,205.95","1,160.47","362.79K","-0.87%"
"13/05/2022","1,172.60","1,227.38","1,232.13","1,167.80","476.10K","-4.66%"
"12/05/2022","1,229.90","1,284.86","1,286.51","1,229.90","326.53K","-5.20%"
"11/05/2022","1,297.38","1,290.50","1,300.87","1,272.21","231.28K","0.68%"
"10/05/2022","1,288.61","1,258.90","1,288.61","1,227.63","386.92K","1.98%"
"09/05/2022","1,263.57","1,306.37","1,308.79","1,257.46","413.31K","-4.61%"
"06/05/2022","1,324.63","1,350.61","1,350.61","1,324.38","338.03K","-2.47%"
"05/05/2022","1,358.12","1,362.52","1,362.86","1,328.65","326.77K","0.65%"
"04/05/2022","1,349.34","1,372.85","1,372.94","1,349.34","293.53K","-1.94%"
"29/04/2022","1,376.00","1,355.90","1,376.75","1,350.22","329.13K","1.46%"
"28/04/2022","1,356.25","1,357.77","1,365.72","1,349.77","267.30K","-0.13%"
"27/04/2022","1,357.98","1,346.35","1,361.54","1,319.65","280.09K","0.70%"
"26/04/2022","1,348.52","1,294.35","1,348.52","1,264.81","429.00K","2.50%"
"25/04/2022","1,315.66","1,391.65","1,392.98","1,307.75","439.60K","-5.46%"
"22/04/2022","1,391.65","1,392.83","1,407.51","1,363.25","447.04K","0.65%"
"21/04/2022","1,382.64","1,387.45","1,406.17","1,368.74","473.85K","-0.69%"
"20/04/2022","1,392.24","1,406.80","1,417.16","1,392.24","405.45K","-1.10%"
"19/04/2022","1,407.69","1,441.34","1,449.21","1,407.69","404.78K","-2.09%"
"18/04/2022","1,437.72","1,463.21","1,463.21","1,430.70","483.07K","-1.97%"
"15/04/2022","1,466.58","1,485.91","1,490.22","1,464.08","406.78K","-1.53%"
"14/04/2022","1,489.33","1,498.00","1,502.72","1,488.34","293.79K","-0.36%"
"13/04/2022","1,494.67","1,475.70","1,494.67","1,465.21","378.44K","1.62%"
"12/04/2022","1,470.83","1,500.71","1,503.27","1,470.83","386.17K","-1.58%"
"08/04/2022","1,494.39","1,515.30","1,520.99","1,494.39","422.75K","-1.42%"
"07/04/2022","1,515.90","1,537.33","1,539.45","1,515.90","468.94K","-1.22%"
"06/04/2022","1,534.69","1,519.62","1,536.78","1,515.13","538.60K","0.53%"
"05/04/2022","1,526.58","1,530.78","1,537.35","1,526.34","381.92K","-0.47%"
"04/04/2022","1,533.73","1,544.60","1,544.81","1,533.73","458.58K","0.26%"
"01/04/2022","1,529.68","1,497.70","1,529.68","1,494.20","501.93K","2.00%"
"31/03/2022","1,499.71","1,499.10","1,506.39","1,495.68","337.05K","0.23%"
"30/03/2022","1,496.26","1,496.80","1,510.04","1,488.92","470.63K","-0.34%"
"29/03/2022","1,501.30","1,487.28","1,502.78","1,487.28","347.97K","1.06%"
"28/03/2022","1,485.61","1,500.54","1,500.54","1,475.10","547.00K","-1.01%"
"25/03/2022","1,500.70","1,500.42","1,504.09","1,496.25","382.26K","0.10%"
"24/03/2022","1,499.19","1,505.36","1,506.87","1,496.78","410.56K","-0.35%"
"23/03/2022","1,504.44","1,509.29","1,515.96","1,504.06","439.01K","-0.18%"
"22/03/2022","1,507.11","1,501.03","1,511.39","1,500.48","489.68K","0.78%"
"21/03/2022","1,495.49","1,472.97","1,495.49","1,472.97","386.54K","1.75%"
"18/03/2022","1,469.74","1,467.30","1,476.03","1,467.30","403.35K","0.44%"
"17/03/2022","1,463.36","1,472.33","1,472.60","1,463.28","370.98K","-0.08%"
"16/03/2022","1,464.50","1,465.70","1,468.20","1,459.53","299.23K","0.44%"
"15/03/2022","1,458.10","1,448.73","1,458.75","1,441.80","376.03K","0.66%"
"14/03/2022","1,448.60","1,460.18","1,462.76","1,442.30","475.97K","-1.24%"
"11/03/2022","1,466.85","1,476.71","1,479.97","1,458.41","496.75K","-0.76%"
"10/03/2022","1,478.09","1,478.08","1,490.62","1,478.08","357.22K","0.27%"
"09/03/2022","1,474.14","1,476.31","1,480.68","1,460.62","531.23K","0.15%"
"08/03/2022","1,471.89","1,484.87","1,492.55","1,470.45","591.50K","-1.59%"
"07/03/2022","1,495.71","1,498.56","1,504.06","1,490.93","530.74K","-0.74%"
"04/03/2022","1,506.83","1,506.64","1,512.40","1,503.47","509.16K","0.22%"
"03/03/2022","1,503.55","1,488.26","1,503.55","1,483.22","555.41K","1.55%"
"02/03/2022","1,480.61","1,497.18","1,498.49","1,474.96","585.25K","-1.29%"
"01/03/2022","1,499.95","1,496.85","1,503.61","1,493.79","478.72K","0.48%"
"28/02/2022","1,492.72","1,501.87","1,507.73","1,489.08","434.60K","-0.60%"
"25/02/2022","1,501.67","1,504.71","1,513.47","1,501.67","461.49K","0.51%"
"24/02/2022","1,493.99","1,509.81","1,513.29","1,469.17","678.20K","-1.06%"
"23/02/2022","1,510.01","1,506.38","1,518.89","1,504.97","403.79K","0.59%"
"22/02/2022","1,501.10","1,506.66","1,506.66","1,479.87","535.13K","-0.45%"
"21/02/2022","1,507.93","1,502.73","1,514.14","1,498.06","422.96K","0.35%"
"18/02/2022","1,502.62","1,491.70","1,503.95","1,490.01","410.69K","-0.18%"
"17/02/2022","1,505.37","1,490.61","1,505.37","1,490.61","363.30K","1.02%"
"16/02/2022","1,490.17","1,498.31","1,498.44","1,485.47","370.14K","0.01%"
"15/02/2022","1,490.01","1,470.54","1,491.59","1,467.98","366.10K","1.54%"
"14/02/2022","1,467.36","1,487.75","1,496.95","1,467.36","506.59K","-2.47%"
"11/02/2022","1,504.56","1,501.42","1,509.62","1,499.55","375.13K","-0.08%"
"10/02/2022","1,505.82","1,512.40","1,514.31","1,494.47","411.84K","-0.15%"
"09/02/2022","1,508.03","1,505.43","1,518.71","1,504.49","496.08K","0.34%"
"08/02/2022","1,502.85","1,492.98","1,507.24","1,490.14","464.69K","0.49%"
"07/02/2022","1,495.50","1,501.30","1,507.64","1,495.50","359.25K","0.74%"
"28/01/2022","1,484.58","1,469.83","1,487.50","1,468.73","407.46K","0.94%"
"27/01/2022","1,470.75","1,476.26","1,484.21","1,461.73","326.85K","-0.66%"
"26/01/2022","1,480.53","1,478.98","1,488.92","1,476.12","486.30K","0.43%"
"25/01/2022","1,474.20","1,426.56","1,474.20","1,423.40","425.06K","2.96%"
"24/01/2022","1,431.79","1,463.64","1,465.68","1,427.09","493.20K","-2.62%"
"21/01/2022","1,470.35","1,468.08","1,476.91","1,463.51","478.25K","0.60%"
"20/01/2022","1,461.60","1,442.27","1,466.96","1,437.65","423.09K","1.19%"
"19/01/2022","1,444.44","1,436.36","1,448.41","1,435.53","325.08K","0.55%"
"18/01/2022","1,436.61","1,435.58","1,451.90","1,424.60","437.42K","-0.85%"
"17/01/2022","1,448.93","1,502.89","1,506.75","1,448.93","571.46K","-3.47%"
"14/01/2022","1,500.95","1,496.69","1,510.29","1,485.94","405.36K","-0.32%"
"13/01/2022","1,505.81","1,523.83","1,532.38","1,504.30","584.01K","-0.99%"
"12/01/2022","1,520.92","1,496.19","1,520.92","1,474.89","673.09K","1.34%"
"11/01/2022","1,500.82","1,516.17","1,522.89","1,497.68","672.93K","-0.89%"
"10/01/2022","1,514.30","1,539.02","1,547.54","1,514.30","734.37K","-1.65%"
"07/01/2022","1,539.67","1,550.34","1,552.06","1,539.67","514.24K","-0.41%"
"06/01/2022","1,545.98","1,539.11","1,555.77","1,537.93","609.13K","0.23%"
"05/01/2022","1,542.45","1,551.82","1,557.61","1,542.45","579.30K","-0.40%"
"04/01/2022","1,548.70","1,524.78","1,551.99","1,524.78","477.19K","1.60%"
"31/12/2021","1,524.25","1,513.55","1,524.48","1,513.48","459.62K","0.99%"
"30/12/2021","1,509.27","1,507.08","1,515.48","1,507.08","378.74K","0.14%"
"29/12/2021","1,507.14","1,521.43","1,523.60","1,507.14","424.10K","-0.60%"
"28/12/2021","1,516.26","1,511.50","1,519.15","1,503.29","509.15K","0.76%"
"27/12/2021","1,504.87","1,500.42","1,506.61","1,484.94","390.85K","0.82%"
"24/12/2021","1,492.58","1,473.74","1,493.68","1,466.54","459.28K","1.81%"
"23/12/2021","1,466.01","1,491.46","1,492.83","1,455.19","676.14K","-1.65%"
"22/12/2021","1,490.57","1,499.74","1,503.73","1,484.71","565.83K","-0.17%"
"21/12/2021","1,493.14","1,488.35","1,498.46","1,485.79","486.18K","0.20%"
"20/12/2021","1,490.15","1,496.37","1,497.12","1,482.96","491.79K","-0.15%"
"17/12/2021","1,492.37","1,493.65","1,498.42","1,490.63","572.27K","0.27%"
"16/12/2021","1,488.31","1,496.63","1,497.19","1,481.29","489.95K","-0.09%"
"15/12/2021","1,489.61","1,489.93","1,496.96","1,481.92","476.93K","0.08%"
"14/12/2021","1,488.45","1,488.18","1,499.63","1,481.78","477.51K","0.01%"
"13/12/2021","1,488.31","1,485.74","1,493.00","1,483.86","454.98K","0.59%"
"10/12/2021","1,479.63","1,485.72","1,491.61","1,477.14","436.75K","-0.43%"
"09/12/2021","1,486.05","1,464.16","1,486.05","1,464.16","345.47K","1.09%"
"08/12/2021","1,470.04","1,469.00","1,479.42","1,464.33","408.89K","0.39%"
"07/12/2021","1,464.27","1,445.33","1,464.27","1,437.21","384.90K","2.27%"
"06/12/2021","1,431.72","1,465.11","1,472.47","1,415.88","589.00K","-2.10%"
"03/12/2021","1,462.41","1,511.01","1,513.46","1,462.41","559.86K","-2.67%"
"02/12/2021","1,502.58","1,513.91","1,516.22","1,502.58","406.15K","-0.51%"
"01/12/2021","1,510.29","1,499.61","1,510.29","1,492.87","455.36K","0.68%"
"30/11/2021","1,500.02","1,524.01","1,526.54","1,492.20","613.16K","-0.63%"
"29/11/2021","1,509.51","1,490.92","1,514.91","1,490.92","569.91K","-0.52%"
"26/11/2021","1,517.47","1,529.78","1,537.69","1,514.74","587.22K","-0.42%"
"25/11/2021","1,523.89","1,519.68","1,527.97","1,514.63","569.19K","0.81%"
"24/11/2021","1,511.65","1,486.31","1,513.57","1,482.18","682.07K","2.05%"
"23/11/2021","1,481.33","1,463.89","1,481.33","1,458.02","452.20K","0.96%"
"22/11/2021","1,467.24","1,467.56","1,486.70","1,462.74","683.13K","0.20%"
"19/11/2021","1,464.26","1,477.70","1,490.23","1,444.98","815.56K","-0.49%"
"18/11/2021","1,471.49","1,482.93","1,484.57","1,471.49","593.68K","-0.50%"
"17/11/2021","1,478.94","1,474.71","1,481.05","1,471.13","420.66K","0.30%"
"16/11/2021","1,474.50","1,482.18","1,487.84","1,468.75","602.84K","-0.80%"
"15/11/2021","1,486.40","1,492.32","1,492.55","1,477.01","634.60K","0.21%"
"12/11/2021","1,483.23","1,468.45","1,483.89","1,458.70","456.43K","1.16%"
"11/11/2021","1,466.20","1,473.65","1,478.60","1,453.19","665.35K","-0.33%"
"10/11/2021","1,471.10","1,473.18","1,476.48","1,463.44","515.03K","0.10%"
"09/11/2021","1,469.59","1,477.99","1,482.43","1,465.50","540.56K","-0.22%"
"08/11/2021","1,472.84","1,467.34","1,478.10","1,463.97","575.65K","0.61%"
"05/11/2021","1,463.93","1,461.31","1,467.22","1,453.56","425.08K","0.44%"
"04/11/2021","1,457.56","1,456.08","1,462.46","1,448.82","434.01K","0.14%"
"03/11/2021","1,455.47","1,461.71","1,470.79","1,447.57","792.37K","0.04%"
"02/11/2021","1,454.95","1,443.26","1,454.95","1,443.26","501.40K","0.80%"
"01/11/2021","1,443.45","1,454.56","1,457.94","1,439.31","605.92K","-0.48%"
"29/10/2021","1,450.46","1,448.59","1,454.62","1,441.34","506.32K","0.19%"
"28/10/2021","1,447.69","1,440.84","1,448.74","1,433.55","451.42K","0.85%"
"27/10/2021","1,435.42","1,410.48","1,435.42","1,408.29","481.53K","2.15%"
"26/10/2021","1,405.19","1,394.51","1,405.34","1,387.39","370.28K","0.54%"
"25/10/2021","1,397.66","1,411.22","1,411.52","1,397.66","456.24K","-0.71%"
"22/10/2021","1,407.64","1,410.51","1,413.56","1,404.16","379.43K","0.18%"
"21/10/2021","1,405.06","1,418.37","1,419.32","1,405.06","374.09K","-0.66%"
"20/10/2021","1,414.35","1,418.60","1,423.94","1,396.84","400.44K","-0.07%"
"19/10/2021","1,415.27","1,418.83","1,420.44","1,410.97","336.35K","-0.18%"
"18/10/2021","1,417.81","1,418.48","1,424.84","1,413.68","438.28K","0.24%"
"15/10/2021","1,414.44","1,417.32","1,420.96","1,409.11","390.61K","0.12%"
"14/10/2021","1,412.73","1,412.53","1,419.21","1,408.63","397.33K","0.03%"
"13/10/2021","1,412.24","1,417.58","1,422.82","1,409.91","339.72K","-0.18%"
"12/10/2021","1,414.81","1,417.85","1,420.10","1,408.98","395.36K","0.09%"
"11/10/2021","1,413.52","1,390.17","1,413.58","1,390.13","423.88K","2.04%"
"08/10/2021","1,385.22","1,378.96","1,385.22","1,376.47","336.15K","0.75%"
"07/10/2021","1,374.84","1,377.03","1,379.77","1,372.73","376.06K","0.25%"
"06/10/2021","1,371.47","1,371.03","1,371.47","1,365.57","361.60K","0.42%"
"05/10/2021","1,365.74","1,356.61","1,365.81","1,355.13","367.62K","0.92%"
"04/10/2021","1,353.26","1,352.43","1,358.39","1,342.93","455.95K","0.12%"
"01/10/2021","1,351.64","1,360.07","1,363.75","1,348.97","394.53K","-0.85%"
"30/09/2021","1,363.18","1,359.61","1,369.81","1,362.21","274.23K","0.26%"
"29/09/2021","1,359.61","1,359.41","1,361.94","1,348.82","352.77K","-0.12%"
"28/09/2021","1,361.20","1,342.06","1,363.20","1,337.88","337.62K","1.02%"
"27/09/2021","1,347.41","1,375.49","1,376.52","1,347.41","410.95K","-1.86%"
"24/09/2021","1,372.90","1,375.96","1,378.61","1,369.50","361.39K","-0.07%"
"23/09/2021","1,373.88","1,377.66","1,382.96","1,371.76","445.73K","0.12%"
"22/09/2021","1,372.20","1,367.74","1,372.74","1,359.04","374.01K","0.61%"
"21/09/2021","1,363.90","1,358.24","1,370.79","1,349.16","470.81K","-0.68%"
"20/09/2021","1,373.18","1,383.55","1,388.71","1,370.07","483.71K","0.14%"
"17/09/2021","1,371.31","1,365.85","1,374.67","1,365.63","467.73K","0.65%"
"16/09/2021","1,362.39","1,366.29","1,367.93","1,357.04","304.02K","0.19%"
"15/09/2021","1,359.81","1,347.81","1,361.82","1,347.33","322.71K","0.55%"
"14/09/2021","1,352.37","1,359.07","1,362.67","1,350.51","362.97K","-0.53%"
"13/09/2021","1,359.57","1,366.71","1,369.03","1,358.92","441.01K","-0.41%"
"10/09/2021","1,365.23","1,368.91","1,370.51","1,364.73","321.12K","0.04%"
"09/09/2021","1,364.66","1,352.21","1,366.02","1,351.12","369.00K","0.90%"
"08/09/2021","1,352.51","1,363.85","1,364.65","1,348.54","374.06K","-0.66%"
"07/09/2021","1,361.48","1,366.80","1,372.78","1,359.35","522.69K","-0.12%"
"06/09/2021","1,363.05","1,354.49","1,364.05","1,352.79","549.47K","1.11%"
"01/09/2021","1,348.15","1,344.72","1,353.88","1,343.83","429.61K","-0.02%"
"31/08/2021","1,348.47","1,353.21","1,354.69","1,345.21","458.08K","-0.01%"
"30/08/2021","1,348.61","1,342.82","1,350.09","1,337.47","403.49K","1.17%"
"27/08/2021","1,332.97","1,315.84","1,332.97","1,305.63","449.14K","0.69%"
"26/08/2021","1,323.84","1,338.17","1,340.98","1,318.99","340.66K","-0.80%"
"25/08/2021","1,334.49","1,326.33","1,335.17","1,316.51","320.31K","0.79%"
"24/08/2021","1,323.99","1,324.22","1,331.65","1,313.48","433.33K","0.17%"
"23/08/2021","1,321.77","1,350.24","1,354.30","1,321.77","529.61K","-2.62%"
"20/08/2021","1,357.29","1,399.28","1,400.84","1,343.03","803.99K","-3.52%"
"19/08/2021","1,406.75","1,393.92","1,406.75","1,385.22","438.66K","0.92%"
"18/08/2021","1,393.86","1,395.48","1,403.46","1,389.18","443.51K","-0.26%"
"17/08/2021","1,397.56","1,408.96","1,412.50","1,392.19","493.70K","-0.38%"
"16/08/2021","1,402.87","1,394.06","1,405.51","1,391.18","569.89K","1.19%"
"13/08/2021","1,386.36","1,379.73","1,386.36","1,364.25","492.62K","0.49%"
"12/08/2021","1,379.55","1,386.20","1,393.87","1,379.55","462.75K","-0.59%"
"11/08/2021","1,387.67","1,396.92","1,404.37","1,387.67","536.78K","-0.49%"
"10/08/2021","1,394.57","1,403.81","1,406.00","1,389.55","458.85K","-0.05%"
"09/08/2021","1,395.21","1,370.57","1,396.33","1,366.41","440.55K","1.49%"
"06/08/2021","1,374.72","1,384.28","1,387.52","1,374.72","462.55K","-0.55%"
"05/08/2021","1,382.34","1,365.10","1,383.95","1,361.08","393.95K","1.03%"
"04/08/2021","1,368.26","1,370.87","1,375.21","1,361.37","441.44K","0.25%"
"03/08/2021","1,364.90","1,347.82","1,364.90","1,347.33","446.86K","1.42%"
"02/08/2021","1,345.82","1,342.26","1,355.02","1,336.89","414.59K","0.01%"
"30/07/2021","1,345.64","1,330.72","1,348.41","1,329.44","408.37K","1.38%"
"29/07/2021","1,327.34","1,319.53","1,327.34","1,315.15","306.84K","1.39%"
"28/07/2021","1,309.18","1,307.91","1,316.08","1,305.09","244.36K","-0.18%"
"27/07/2021","1,311.48","1,317.70","1,323.63","1,310.41","382.89K","0.36%"
"26/07/2021","1,306.76","1,296.79","1,311.32","1,287.59","327.89K","0.35%"
"23/07/2021","1,302.16","1,322.04","1,330.39","1,302.16","395.51K","-1.94%"
"22/07/2021","1,327.95","1,303.17","1,329.72","1,299.58","344.96K","1.77%"
"21/07/2021","1,304.82","1,311.25","1,318.88","1,300.53","276.54K","-0.16%"
"20/07/2021","1,306.88","1,279.22","1,306.88","1,258.11","381.70K","2.49%"
"19/07/2021","1,275.15","1,300.63","1,309.81","1,268.25","494.78K","-4.28%"
"16/07/2021","1,332.18","1,334.32","1,338.97","1,329.13","281.33K","0.45%"
"15/07/2021","1,326.24","1,308.16","1,334.09","1,300.70","306.86K","1.38%"
"14/07/2021","1,308.16","1,332.14","1,340.06","1,293.66","388.48K","-1.80%"
"13/07/2021","1,332.14","1,330.48","1,342.30","1,310.88","334.50K","0.12%"
"12/07/2021","1,330.48","1,378.39","1,378.39","1,297.45","665.38K","-3.48%"
"09/07/2021","1,378.39","1,404.39","1,407.40","1,365.87","523.31K","-1.85%"
"08/07/2021","1,404.39","1,420.95","1,420.95","1,394.77","382.84K","-1.17%"
"07/07/2021","1,420.95","1,382.10","1,420.95","1,364.10","522.98K","2.81%"
"06/07/2021","1,382.10","1,445.27","1,451.90","1,382.10","533.22K","-4.37%"
"05/07/2021","1,445.27","1,447.47","1,451.36","1,425.62","546.66K","-0.15%"
"02/07/2021","1,447.47","1,440.27","1,450.52","1,440.27","441.94K","0.50%"
"01/07/2021","1,440.27","1,426.57","1,440.27","1,422.20","477.53K","0.96%"
"30/06/2021","1,426.57","1,428.25","1,437.75","1,426.00","360.39K","-0.12%"
"29/06/2021","1,428.25","1,421.12","1,434.88","1,421.12","392.60K","0.50%"
"28/06/2021","1,421.13","1,402.40","1,422.24","1,402.40","423.83K","1.34%"
"25/06/2021","1,402.33","1,391.59","1,402.89","1,384.59","363.87K","0.77%"
"24/06/2021","1,391.57","1,394.01","1,401.04","1,387.28","360.64K","-0.18%"
"23/06/2021","1,394.03","1,397.04","1,406.07","1,389.66","431.53K","-0.21%"
"22/06/2021","1,397.00","1,389.56","1,404.36","1,389.56","455.58K","0.54%"
"21/06/2021","1,389.51","1,393.90","1,398.14","1,384.80","483.28K","-0.29%"
"18/06/2021","1,393.56","1,375.87","1,395.69","1,375.87","512.97K","1.29%"
"17/06/2021","1,375.78","1,374.38","1,381.62","1,357.60","496.87K","-0.01%"
"16/06/2021","1,375.91","1,393.99","1,395.41","1,373.30","501.81K","-1.30%"
"15/06/2021","1,394.02","1,395.27","1,402.18","1,387.21","488.28K","-0.09%"
"14/06/2021","1,395.28","1,385.66","1,403.36","1,385.66","498.45K","0.76%"
"11/06/2021","1,384.81","1,354.38","1,387.69","1,352.87","467.33K","2.26%"
"10/06/2021","1,354.16","1,360.65","1,366.61","1,347.46","482.04K","-0.48%"
"09/06/2021","1,360.73","1,345.94","1,368.81","1,330.86","531.01K","1.09%"
"08/06/2021","1,346.07","1,386.52","1,397.22","1,344.19","603.68K","-3.04%"
"07/06/2021","1,388.27","1,406.32","1,407.92","1,376.47","580.70K","-1.30%"
"04/06/2021","1,406.50","1,398.53","1,406.50","1,394.20","613.01K","0.56%"
"03/06/2021","1,398.66","1,374.34","1,400.22","1,374.34","569.55K","1.83%"
